0,0
0.1,0
0.2,0
0.3,0
0.4,0
0.5,0
0.6,0
0.7,0
0.8,0
0.9,0
1,0
1.1,0
1.2,0
1.3,0
1.4,0
1.5,0
1.6,0
1.7,0
1.8,0
1.9,0
2,0
2.1,0
2.2,0
2.3,0
2.4,0
2.5,0
2.6,0
2.7,0
2.8,0
2.9,0
3,0
3.1,0
3.2,0
3.3,0
3.4,0
3.5,0
3.6,0
3.7,0
3.8,0
3.9,0
4,0
4.1,0
4.2,0
4.3,0
4.4,0
4.5,0
4.6,0
4.7,0
4.8,0
4.9,0
5,0
5.1,0
5.2,0
5.3,0
5.4,0
5.5,0
5.6,0
5.7,0
5.8,0
5.9,0
6,3
6.1,3
6.2,3
6.3,3
6.4,3
6.5,3
6.6,3
6.7,3
6.8,3
6.9,3
7,3
7.1,3
7.2,3
7.3,3
7.4,3
7.5,3
7.6,3
7.7,3
7.8,3
7.9,3
8,3
8.1,3
8.2,3
8.3,3
8.4,3
8.5,3
8.6,3
8.7,3
8.8,3
8.9,3
9,3
9.1,3
9.2,3
9.3,3
9.4,3
9.5,3
9.6,3
9.7,3
9.8,3
9.9,3
10,3
10.1,3
10.2,3
10.3,3
10.4,3
10.5,3
10.6,3
10.7,3
10.8,3
10.9,3
11,3
11.1,3
11.2,3
11.3,3
11.4,3
11.5,3
11.6,3
11.7,3
11.8,3
11.9,3
12,3
12.1,0
12.2,0
12.3,0
12.4,0
12.5,0
12.6,0
12.7,0
12.8,0
12.9,0
13,0
13.1,0
13.2,0
13.3,0
13.4,0
13.5,0
13.6,0
13.7,0
13.8,0
13.9,0
14,3
14.1,3
14.2,3
14.3,3
14.4,3
14.5,3
14.6,3
14.7,3
14.8,3
14.9,3
15,3
15.1,3
15.2,3
15.3,3
15.4,3
15.5,3
15.6,3
15.7,3
15.8,3
15.9,3
16,3
16.1,3
16.2,3
16.3,3
16.4,3
16.5,3
16.6,3
16.7,3
16.8,3
16.9,3
17,3
17.1,3
17.2,3
17.3,3
17.4,3
17.5,3
17.6,3
17.7,3
17.8,3
17.9,3
18,3
18.1,3
18.2,3
18.3,3
18.4,3
18.5,3
18.6,3
18.7,3
18.8,3
18.9,3
19,3
19.1,3
19.2,3
19.3,3
19.4,3
19.5,3
19.6,3
19.7,3
19.8,3
19.9,3
20,3
20.1,0
20.2,0
20.3,0
20.4,0
20.5,0
20.6,0
20.7,0
20.8,0
20.9,0
21,0
21.1,0
21.2,0
21.3,0
21.4,0
21.5,0
21.6,0
21.7,0
21.8,0
21.9,0
22,1
22.1,1
22.2,1
22.3,1
22.4,1
22.5,1
22.6,1
22.7,1
22.8,1
22.9,1
23,1
23.1,1
23.2,1
23.3,1
23.4,1
23.5,1
23.6,1
23.7,1
23.8,1
23.9,1
24,1
24.1,1
24.2,1
24.3,1
24.4,1
24.5,1
24.6,1
24.7,1
24.8,1
